HumanGeneName	MouseGeneName
ANKRD27	Ankrd27
ANO9	Ano9
SLC16A5	Slc16a5
PAPPA	Pappa
PHF13	Phf13
PHLDB1	Phldb1
CLCC1	Clcc1
ALPI	Akp3
MCOLN3	Mcoln3
SYDE2	Syde2
ATP8B4	Atp8b4
PIGV	Pigv
FAM166C	Fam166c
UBE2D2	Ube2d2b
SLC38A3	Slc38a3
UBA7	Uba7
CIB3	Cib3
SHTN1	Shtn1
KCNA4	Kcna4
ANO1	Ano1
SH3BP1	Sh3bp1
CDC42EP1	Cdc42ep1
SLC16A8	Slc16a8
CSGALNACT1	Csgalnact1
ADGRG4	Adgrg4
MAP7D3	Map7d3
NDP	Ndp
IFI30	Ifi30
TMEM94	Tmem94
GASK1A	Gask1a
TBC1D16	Tbc1d16
ITGAM	Itgam
ECM1	Ecm1
NFKB1	Nfkb1
TUBGCP6	Tubgcp6
CHADL	Chadl
MRTFA	Mrtfa
PFKL	Pfkl
PRRT2	Prrt2
GMNC	Gmnc
OSTN	Ostn
KAT6B	Kat6b
DNASE2	Dnase2a
PASK	Pask
ZNF654	Zfp654
NANS	Nans
FMNL3	Fmnl3
MSL2	Msl2
WBP1L	Wbp1l
IGFLR1	Igflr1
LSG1	Lsg1
PDCL	Pdcl
DCAF15	Dcaf15
BRI3	Bri3
NOB1	Nob1
WDTC1	Wdtc1
SCLT1	Sclt1
H1-0	H1f0
STAG2	Stag2
CHFR	Chfr
DDX31	Ddx31
R3HCC1L	R3hcc1l
NOL11	Nol11
ATN1	Atn1
TCN2	Tcn2
MN1	Mn1
KNL1	Knl1
HDAC10	Hdac10
CNTN5	Cntn5
CCDC82	Ccdc82
BARD1	Bard1
SUFU	Sufu
INTS13	Ints13
EXD2	Exd2
BANF1	Banf1
VPS41	Vps41
TNS1	Tns1
QSOX1	Qsox1
LRP1	Lrp1
FAM162A	Fam162a
FAM162B	Fam162b
BTG1	Btg1b
B4GALNT3	B4galnt3
SCAF4	Scaf4
EMC10	Emc10
ZC3H3	Zc3h3
DMTN	Dmtn
COLEC12	Colec12
RREB1	Rreb1
GID8	Gid8
ATMIN	Atmin
MRTFB	Mrtfb
EVPL	Evpl
PADI4	Padi4
PADI6	Padi6
PADI3	Padi3
PADI2	Padi2
PADI1	Padi1
GTF3C6	Gtf3c6
NOL12	Nol12
NIPSNAP3A	Nipsnap3b
CWC27	Cwc27
SPATA6L	Spata6l
ADPRM	Adprm
NDUFV2	Ndufv2
LYPLA2	Lypla2
TBCEL	Tbcel
DBIL5P	Dbil5
DBI	Dbi
COPS9	Cops9
RNF185	Rnf185
RALBP1	Ralbp1
SLC22A1	Slc22a1
SLC22A2	Slc22a2
AP2S1	Ap2s1
PARP16	Parp16
RSRC1	Rsrc1
RAD51D	Rad51d
UBE2F	Ube2f
PPM1N	Ppm1n
UBE2J1	Ube2j1
RNF13	Rnf13
CLEC16A	Clec16a
INIP	Inip
PDCD2L	Pdcd2l
RCAN2	Rcan2
GUK1	Guk1
SNTB1	Sntb1
ANKS4B	Anks4b
SH3BGRL2	Sh3bgrl2
TRUB2	Trub2
TPGS2	Tpgs2
AAR2	Aar2
NCEH1	Nceh1
ZFYVE19	Zfyve19
ABHD17B	Abhd17b
RPP25L	Rpp25l
SKA1	Ska1
HVCN1	Hvcn1
COQ8A	Coq8a
TSR3	Tsr3
POMP	Pomp
MFSD6L	Mfsd6l
FAM219A	Fam219a
CKS1B	Cks1brt
TMEM223	Tmem223
WDR54	Wdr54
LIPH	Liph
LIPI	Lipi
SH3BGR	Sh3bgr
FAM151B	Fam151b
VPS26C	Vps26c
COMMD5	Commd5
BOLA1	Bola1
CNFN	Cnfn
CPLANE2	Cplane2
MRPS10	Mrps10
CHCHD6	Chchd6
GPATCH4	Gpatch4
TSEN15	Tsen15
TMCO4	Tmco4
FMOD	Fmod
PCNP	Pcnp
LRRC23	Lrrc23
CDKN2AIPNL	Cdkn2aipnl
METTL1	Mettl1
GALNT2	Galnt2
NAA25	Naa25
ZNF236	Zfp236
CENPF	Cenpf
ZNF687	Zfp687
ANGPTL4	Angptl4
TASOR2	Tasor2
ELAC2	Elac2
TBC1D25	Tbc1d25
SNX11	Snx11
E2F8	E2f8
FAM83D	Fam83d
TRMT10C	Trmt10c
HAUS5	Haus5
SLC37A1	Slc37a1
THG1L	Thg1l
SLC6A1	Slc6a1
COPE	Cope
SPTLC3	Sptlc3
NDRG2	Ndrg2
PCED1A	Pced1a
PCED1B	Pced1b
NXNL2	Nxnl2
RASSF4	Rassf4
NUP210	Nup210
EIF5B	Eif5b
PHIP	Phip
ATP8B3	Atp8b3
CGN	Cgn
FAM210A	Fam210a
PIK3C2B	Pik3c2b
LY75	Ly75
KCNK6	Kcnk6
HUNK	Hunk
FAM222A	Fam222a
METTL21A	Mettl21a
FAM221A	Fam221a
CR1	Cr1l
PSMD5	Psmd5
GM2A	Gm2a
SLC18B1	Slc18b1
ANAPC16	Anapc16
IFT22	Ift22
MPZL1	Mpzl1
AFDN	Afdn
TMEM123	Tmem123
IQSEC3	Iqsec3
RAD50	Rad50
LPCAT2BP	Lpcat2b
LPCAT2	Lpcat2
WDR13	Wdr13
MAU2	Mau2
GDA	Gda
SUN1	Sun1
ZFAND3	Zfand3
NIF3L1	Nif3l1
NSUN3	Nsun3
KANSL3	Kansl3
RNF121	Rnf121
ARHGAP12	Arhgap12
FSTL3	Fstl3
URI1	Uri1
PDF	Pdf
RNF11	Rnf11
CCDC22	Ccdc22
RPL22	Rpl22
KCNK2	Kcnk2
SAXO2	Saxo2
BRAT1	Brat1
GPNMB	Gpnmb
FAM133A	Fam133b
RFTN1	Rftn1
GMEB1	Gmeb1
COL16A1	Col16a1
XPR1	Xpr1
LINGO3	Lingo3
AHDC1	Ahdc1
TMEM160	Tmem160
ANKRD34B	Ankrd34b
TET3	Tet3
RUSC2	Rusc2
TPCN1	Tpcn1
IQCD	Iqcd
ENTR1	Entr1
CFAP251	Wdr66
FAM214B	Fam214b
RASA4	Rasa4
CYB561A3	Cyb561a3
ERCC6L	Ercc6l
ACAD9	Acad9
LHX4	Lhx4
TRMT1	Trmt1
MLH3	Mlh3
EMC1	Emc1
CCDC51	Ccdc51
SRRD	Srrd
EXTL2	Extl2
F13A1	F13a1
EVA1A	Eva1a
BLVRA	Blvra
RPUSD1	Rpusd1
GOT1L1	Got1l1
METTL13	Eef1aknmt
TKFC	Tkfc
TAFA4	Tafa4
NXPE3	Nxpe3
PROS1	Pros1
AP1B1	Ap1b1
TMA7	Tma7
LARP4B	Larp4b
COMMD8	Commd8
SGMS1	Sgms1
ECE1	Ece1
PKN1	Pkn1
LACTBL1	Lactbl1
BCL11B	Bcl11b
ZBBX	Zbbx
NFKBIE	Nfkbie
ELP5	Elp5
CCDC170	Ccdc170
PANK2	Pank2
PANK3	Pank3
MESD	Mesd
PCNX4	Pcnx4
NDUFAF5	Ndufaf5
PLA2G12A	Pla2g12a
MGAT2	Mgat2
FGF9	Fgf9
TASP1	Tasp1
WDR90	Wdr90
SUGP1	Sugp1
LHPP	Lhpp
RRAGD	Rragd
TMEM205	Tmem205
VEZT	Vezt
KREMEN1	Kremen1
KREMEN2	Kremen2
ZNRF3	Znrf3
SPATA2L	Spata2l
FBRSL1	Fbrsl1
BSND	Bsnd
AMER2	Amer2
RICTOR	Rictor
KBTBD6	Kbtbd6
KBTBD7	Kbtbd7
KCNH3	Kcnh3
PPP2R3B	Ppp2r3d
DGKH	Dgkh
PXDC1	Pxdc1
TMEM59	Tmem59
U2SURP	U2surp
CDY2B	Cdyl
PPP2R3A	Ppp2r3a
HTR3B	Htr3b
GCFC2	Gcfc2
SPART	Spg20
GIMAP1-GIMAP5	Gimap5
GIMAP6	Gimap6
GIMAP1	Gimap1
PLEKHS1	Plekhs1
KCNK15	Kcnk15
KCNQ2	Kcnq2
TBRG1	Tbrg1
PRELP	Prelp
SLITRK2	Slitrk2
SOX18	Sox18
LPAR5	Lpar5
EXOC3L4	Exoc3l4
CNTN4	Cntn4
CNTN3	Cntn3
CNTN6	Cntn6
TRPC6	Trpc6
FBXL20	Fbxl20
ZBTB47	Zfp651
CDKN2C	Cdkn2c
TCTN1	Tctn1
NTMT2	Mettl11b
PLAT	Plat
RNF216	Rnf216
DCLK3	Dclk3
WSB2	Wsb2
EPS15	Eps15
STEAP3	Steap3
LYRM4	Lyrm4
ARPP21	Arpp21
PTTG1	Pttg1
SDK1	Sdk1
C7	C7
ADAMTS10	Adamts10
PHF11	Phf11b
CFAP210	Ccdc173
BEND5	Bend5
KANSL1L	Kansl1l
ZNF692	Zfp692
MYO1F	Myo1f
VSIG8	Vsig8
RASEF	Rasef
C1QL2	C1ql2
SOAT1	Soat1
ANAPC1	Anapc1
ACOXL	Acoxl
KIF1C	Kif1c
HTR1F	Htr1f
PCNX2	Pcnx2
SAMD10	Samd10
IQCE	Iqce
TET2	Tet2
WDR17	Wdr17
CXXC4	Cxxc4
AP5S1	Ap5s1
SAMD1	Samd1
ATP10D	Atp10d
FAM217B	Fam217b
PIK3AP1	Pik3ap1
TTC3	Ttc3
CRACDL	Cracdl
KY	Ky
COA8	Coa8
LRRC32	Lrrc32
ATP6V0A2	Atp6v0a2
YME1L1	Yme1l1
STARD13	Stard13
ZFYVE16	Zfyve16
KCNV2	Kcnv2
CCNY	Ccny
GFI1B	Gfi1b
GABRG2	Gabrg2
TMLHE	Tmlhe
TMEM179B	Tmem179b
IGSF5	Igsf5
ITPRID1	Itprid1
CALN1	Caln1
SUPT20H	Supt20
CCDC169	Ccdc169
DNAAF3	Dnaaf3
MIS18A	Mis18a
RFXAP	Rfxap
EVA1C	Eva1c
DEPDC5	Depdc5
SWI5	Swi5
TMEM108	Tmem108
TMEM163	Tmem163
RASSF9	Rassf9
ELMOD3	Elmod3
DLEC1	Dlec1
FAM163B	Fam163b
CLSTN3	Clstn3
TRAK1	Trak1
KCNJ14	Kcnj14
COL5A2	Col5a2
CNGA1	Cnga1
SLC6A2	Slc6a2
TECTA	Tecta
RFT1	Rft1
SOST	Sost
B3GLCT	B3glct
NFXL1	Nfxl1
GCKR	Gckr
TTI2	Tti2
RBM27	Rbm27
TBX19	Tbx19
CENPX	Cenpx
SYCE1	Syce1
SYCE1L	Syce1l
SMIM26	Smim26
MFSD14B	Mfsd14b
CD164L2	Cd164l2
WDR59	Wdr59
SUSD5	Susd5
B3GALT1	B3galt1
CD300LF	Cd300lf
FCAMR	Fcamr
PIGR	Pigr
CD300LG	Cd300lg
MISP3	Misp3
RSKR	Rskr
METTL7B	Mettl7b
NACC1	Nacc1
PHOX2A	Phox2a
STARD3	Stard3
NTRK2	Ntrk2
SKIV2L	Skiv2l
PRRC2A	Prrc2a
BLZF1	Blzf1
PPP1R12C	Ppp1r12c
CASQ2	Casq2
CAPN9	Capn9
SEC22B	Sec22b
ARPC4	Arpc4
GBX1	Gbx1
NUTF2	Nutf2-ps2
ABL2	Abl2
EEF2K	Eef2k
TRH	Trh
CCNG2	Ccng2
AP3M2	Ap3m2
BTAF1	Btaf1
SUCLG2	Suclg2
PPAN	Ppan
IMPDH2	Impdh2
LARS1	Lars
GAPDH	Gapdh-ps15
BCKDHB	Bckdhb
NARS1	Nars
SIRT2	Sirt2
RNF133	Rnf133
RNF128	Rnf128
RNF148	Rnf148
EXOC1	Exoc1
HSDL2	Hsdl2
LITAF	Litaf
H1-10	H1f10
UAP1	Uap1
GMPR2	Gmpr2
CHPT1	Chpt1
ECSIT	Ecsit
NPRL3	Nprl3
SERHL	Serhl
PLPBP	Plpbp
DUS1L	Dus1l
ALOX15	Alox15
ALOX12	Alox12
ZRSR2	Zrsr2
MORC3	Morc3
ZNF770	Zfp770
MAP2K5	Map2k5
LDLRAD3	Ldlrad3
UBR7	Ubr7
CNOT9	Cnot9
ANAPC5	Anapc5
DNAJC5G	Dnajc5g
REXO1	Rexo1
WDHD1	Wdhd1
H2AW	H2aw
H2AC20	H2ac21
ACAP3	Acap3
APPBP2	Appbp2
ELL2	Ell2
CERS5	Cers5
IST1	Ist1
NAGS	Nags
HDAC5	Hdac5
KANSL1	Kansl1
WIPF2	Wipf2
CD79B	Cd79b
GAN	Gan
EME2	Eme2
SPSB3	Spsb3
MSANTD1	Msantd1
GLIS2	Glis2
CACNA1H	Cacna1h
TLNRD1	Tlnrd1
IL16	Il16
STARD5	Stard5
MTERF1	Mthfs
ST20-MTHFS	Mthfsl
EFL1	Efl1
CEMIP	Cemip
TAOK1	Taok1
TRIM8	Trim8
MTRFR	Mtrfr
WTIP	Wtip
TBC1D10C	Tbc1d10c
GAS7	Gas7
METTL4	Mettl4
ACE	Ace
ACE3P	Ace3
SMURF2	Smurf2
ANKRD13A	Ankrd13a
SMARCD1	Smarcd1
HNRNPAB	Hnrnpab
FIGNL1	Fignl1
ALPK2	Alpk2
KAT7	Kat7
LRP4	Lrp4
DLC1	Dlc1
GRIK2	Grik2
KIF20B	Kif20b
ASCC3	Ascc3
MAST2	Mast2
TUSC3	Tusc3
FBXO31	Fbxo31
TENM2	Tenm2
KDF1	Kdf1
CLCA4	Clca4b
CLCA2	Clca2
CLCA1	Clca1
FMNL1	Fmnl1
SBK1	Sbk1
PKP4	Pkp4
ZNF462	Zfp462
LRFN2	Lrfn2
CCDC15	Ccdc15
GRID1	Grid1
ZDHHC22	Zdhhc22
TMC5	Tmc5
KBTBD13	Kbtbd13
CROCC2	Crocc2
PRR5L	Prr5l
TESPA1	Tespa1
SYNRG	Synrg
DENND4C	Dennd4c
AJM1	Ajm1
ASPH	Asph
PIAS1	Pias1
PIAS3	Pias3
KLHL38	Klhl38
MOCS1	Mocs1
DENND2C	Dennd2c
RETREG1	Retreg1
RBMS2	Rbms2
SLITRK3	Slitrk3
SHC3	Shc3
CERS3	Cers3
NANOS2	Nanos2
TLN2	Tln2
RNF20	Rnf20
AGAP1	Agap1
PIK3CA	Pik3ca
CRISPLD2	Crispld2
MEX3A	Mex3a
STMND1	Stmnd1
ZFAT	Zfat
SPIDR	Spidr
RB1CC1	Rb1cc1
CARD11	Card11
SYTL2	Sytl2
KLHL7	Klhl7
MSLN	Msln
FIG4	Fig4
MYLK	Mylk
GDPD3	Gdpd3
NCKIPSD	Nckipsd
SASH3	Sash3
SLC6A14	Slc6a14
KCNJ2	Kcnj2
COX7A1	Cox7a1
GPC6	Gpc6
DRD5	Drd5
FRMD4B	Frmd4b
SHKBP1	Shkbp1
CAPG	Capg
PHKA2	Phka2
PTDSS2	Ptdss2
UNC93B1	Unc93b1
RUNDC3A	Rundc3a
FNBP4	Fnbp4
CPEB2	Cpeb2
RPS6KA5	Rps6ka5
DNAJC16	Dnajc16
ERC2	Erc2
TBKBP1	Tbkbp1
ECPAS	Ecpas
PPP2R2C	Ppp2r2c
TSG101	Tsg101
AADAC	Aadac
AADACL2	Aadacl2
TULP3	Tulp3
CCDC177	Ccdc177
EPB41L3	Epb41l3
MTMR11	Mtmr11
SSTR2	Sstr2
NBEAL1	Nbeal1
NIM1K	Nim1k
PRR12	Prr12
ZNF518A	Zfp518a
FAM20C	Fam20c
SCML2	Scml2
GANC	Ganc
GAB2	Gab2
GFRA4	Gfra4
BCORL1	Bcorl1
MPP3	Mpp3
BRINP1	Brinp1
ACSL6	Acsl6
URGCP	Urgcp
SEMA4F	Sema4f
CLEC11A	Clec11a
BAIAP3	Baiap3
LRIG3	Lrig3
CLDN18	Cldn18
F2RL3	F2rl3
RHOBTB1	Rhobtb1
KCNA3	Kcna3
LRRC7	Lrrc7
JMJD1C	Jmjd1c
PRKD3	Prkd3
ZMAT3	Zmat3
CHD6	Chd6
TMPRSS7	Tmprss7
ACYP2	Acyp2
SLC8B1	Slc8b1
MUC4	Muc4
CIT	Cit
NEK10	Nek10
SP140	Sp140
SP110	Sp110
SP100	Sp100
GTF2H1	Gtf2h1
CNBD1	Cnbd1
NOXRED1	Noxred1
MMP19	Mmp19
CCDC180	Ccdc180
FAT3	Fat3
FAM81A	Fam81a
FAM81B	Fam81b
TRMT10A	Trmt10a
ANPEP	Anpep
CDH8	Cdh8
FBXL21P	Fbxl21
PKDCC	Pkdcc
VGLL3	Vgll3
GVINP1	Gvin2
DMWD	Dmwd
KPNA6	Kpna6
NPPB	Nppb
NRAP	Nrap
KIFC2	Kifc2
ZBTB41	Zbtb41
ITIH1	Itih1
KLHL33	Klhl33
PRELID3A	Prelid3a
NPAT	Npat
TMEM131	Tmem131
KIF21B	Kif21b
ARAP2	Arap2
GUCY1B2	Gucy1b2
HTR7	Htr7
CCDC30	Ccdc30
ITGAE	Itgae
HEATR5B	Heatr5b
DENND4B	Dennd4b
RPTOR	Rptor
PECAM1	Pecam1
MAP1B	Map1b
SHANK1	Shank1
CDH19	Cdh19
DOCK10	Dock10
MSS51	Mss51
GRIN3A	Grin3a
KCNT2	Kcnt2
ADAD2	Adad2
IGFN1	Igfn1
NGEF	Ngef
ZDHHC11	Zdhhc11
ATP10B	Atp10b
ARHGEF5	Arhgef5
ABHD8	Abhd8
PDE9A	Pde9a
GUCY2GP	Gucy2g
FER1L4	Fer1l4
ESCO1	Esco1
TANC1	Tanc1
TXK	Txk
GMIP	Gmip
INCENP	Incenp
SORCS2	Sorcs2
SLX1A	Slx1b
IGSF10	Igsf10
SZT2	Szt2
DHX30	Dhx30
OIT3	Oit3
DNAH2	Dnah2
FYB1	Fyb
IL1RL2	Il1rl2
IL1R1	Il1r1
PPP2R2A	Ppp2r2a
RALGAPB	Ralgapb
C10orf90	D7Ertd443e
NHSL2	Nhsl2
METTL15	Mettl15
TMEM235	Tmem235
KIF28P	Kif28
AP1AR	Ap1ar
ZNF408	Zfp408
IRS3P	Irs3
NTN5	Ntn5
TRAPPC8	Trappc8
CRYBG2	Crybg2
GPR180	Gpr180
CFAP61	Cfap61
SLC13A5	Slc13a5
DHX29	Dhx29
CRIP3	Crip3
ANKRD11	Ankrd11
SHISA9	Shisa9
GARNL3	Garnl3
KCNH4	Kcnh4
RAB11FIP5	Rab11fip5
MKI67	Mki67
HMCN2	Hmcn2
CCSER2	Ccser2
KHDRBS3	Khdrbs3
CCDC83	Ccdc83
SMIM1	Smim1
AKT1	Akt1
HERC1	Herc1
GZF1	Gzf1
FGL1	Fgl1
SMUG1	Smug1
SEMA6B	Sema6b
E2F1	E2f1
ELOA	Eloa
B3GAT1	B3gat1
SH2D4A	Sh2d4a
ZNF608	Zfp608
FDXR	Fdxr
FANK1	Fank1
DHX32	Dhx32
TEKT1	Tekt1
MIIP	Miip
PRRG2	Prrg2
SRCAP	Srcap
MED17	Med17
SLC7A1	Slc7a1
KIAA0753	4933427D14Rik
ICA1	Ica1
URB1	Urb1
MAST1	Mast1
WAPL	Wapl
OPLAH	Oplah
SHROOM2	Shroom2
AFG3L1P	Afg3l1
BPTF	Bptf
SI	Sis
ATG7	Atg7
ARMC5	Armc5
PAQR4	Paqr4
KIAA0319	D130043K22Rik
ZFHX3	Zfhx3
DOCK2	Dock2
TRRAP	Trrap
LAMTOR1	Lamtor1
CLDN34	Cldn34b1
SPINK4	Spink4
QPCT	Qpct
DNER	Dner
SEC16A	Sec16a
ANKRD13B	Ankrd13b
SPOCK1	Spock1
SYCP2L	Sycp2l
GCGR	Gcgr
ZDHHC1	Zdhhc1
C14orf28	Gm527
PLEKHD1	Plekhd1
SV2A	Sv2a
SMIM20	Smim20
ADGRA3	Adgra3
DNAI2	Dnai2
TBXA2R	Tbxa2r
TAPT1	Tapt1
RERG	Rerg
ZFYVE1	Zfyve1
TRAPPC10	Trappc10
EDRF1	Edrf1
QRFPR	Qrfpr
GLRA2	Glra2
CLIP3	Clip3
VWDE	Vwde
PROB1	Prob1
GPR33	Gpr33
CYP2S1	Cyp2s1
CYP2C19	Cyp2c54
CYP2T1P	Cyp2t4
CYP2B6	Cyp2b10
CYP2A13	Cyp2a5
CYP2G1P	Cyp2g1
CYP2C18	Cyp2c55
CYP2C23P	Cyp2c23
CYP2F1	Cyp2f2
TERF2IP	Terf2ip
LRFN4	Lrfn4
TTC28	Ttc28
MRPL47	Mrpl47
ZNF628	Zfp628
COL7A1	Col7a1
RFX7	Rfx7
C10orf71	3425401B19Rik
FBXO38	Fbxo38
ZNFX1	Znfx1
WDR81	Wdr81
TASOR	Tasor
RNF19A	Rnf19a
MYOM2	Myom2
NMI	Nmi
ADAD1	Adad1
ZNF618	Zfp618
GAL3ST4	Gal3st4
TRIL	Tril
PERM1	Perm1
IDH2	Idh2
PLEKHG4	Plekhg4
ERICH2	Erich2
LPAR4	Lpar4
ALPK1	Alpk1
PLXDC2	Plxdc2
CAPN15	Capn15
RAB19	Rab19
CYTIP	Cytip
SNTG1	Sntg1
ELMO2	Elmo2
RBM33	Rbm33
TRIP6	Trip6
ARID3A	Arid3a
TBC1D2	Tbc1d2
SLC4A7	Slc4a7
GRAMD1B	Gramd1b
ADGRG3	Adgrg3
FBXL13	Fbxl13
SIK3	Sik3
ADGRG2	Adgrg2
PRRT4	Prrt4
OFCC1	Ofcc1
CD244	Cd244a
SLC7A15P	Slc7a15
CYTL1	Cytl1
TMEM132A	Tmem132a
TFPT	Tfpt
NLRC3	Nlrc3
ZNF318	Zfp318
MALRD1	Malrd1
AREL1	Arel1
SRP14	Srp14
CS	Csl
TSPAN3	Tspan3
SLC7A2	Slc7a2
GOLPH3	Golph3
GLA	Gla
RNPS1	Rnps1
FLCN	Flcn
VPS8	Vps8
AMN1	Amn1
DRAXIN	Draxin
TK2	Tk2
ARID3B	Arid3b
TRIOBP	Triobp
CD200	Cd200
ARL2BP	Arl2bp
ASB2	Asb2
ACO2	Aco2
SAR1B	Sar1b
IVD	Ivd
VAV3	Vav3
AGK	Agk
CD63	Cd63
NDUFB5	Ndufb5
ABCG8	Abcg8
CCAR1	Ccar1
LZTR1	Lztr1
CDK16	Cdk16
CNOT6	Cnot6
ASB14	Asb14
PARS2	Pars2
POGLUT3	Poglut3
SH2B1	Sh2b1
ZDHHC24	Zdhhc24
GRWD1	Grwd1
NBEAL2	Nbeal2
STOX1	Stox1
PPCDC	Ppcdc
GUCY1A1	Gucy1a1
CDC42EP5	Cdc42ep5
IRAK1BP1	Irak1bp1
STX6	Stx6
SPRYD3	Spryd3
CSTF2T	Cstf2t
CYP21A1P	Cyp21a1
TEC	Tec
TMEM19	Tmem19
PPP4R1	Ppp4r1
NME8	Nme8
NME9	Nme9
C11orf52	2310030G06Rik
VSTM2L	Vstm2l
ATE1	Ate1
APOO	Apoo
TRAPPC2	0610009B22Rik
ARHGAP11A	Arhgap11a
ADSS1	Adssl1
CMKLR2	Gpr1
ANK1	Ank1
DGUOK	Dguok
MAP3K12	Map3k12
RGS3	Rgs3
KPNB1	Kpnb1
GALNT13	Galnt13
SCEL	Scel
VWA8	Vwa8
YBEY	Ybey
VPS28	Vps28
HAO2	Hao2
SKA3	Ska3
XPO4	Xpo4
EEF1AKMT1	Eef1akmt1
CRYL1	Cryl1
MPHOSPH8	Mphosph8
TXNDC9	Txndc9
CALCR	Calcr
UCHL3	Uchl4
BET1	Bet1
TLCD5	Tlcd5
NUP88	Nup88
TNFAIP6	Tnfaip6
UTP18	Utp18
RCAN1	Rcan1
ANAPC2	Anapc2
SSNA1	Ssna1
TMEM203	Tmem203
FBXW5	Fbxw5
OTUD6A	Otud6a
OTUD6B	Otud6b
UBAC1	Ubac1
COQ4	Coq4
BSPRY	Bspry
PARP14	Parp14
ARHGEF15	Arhgef15
NAA38	Naa38
CKMT2	Ckmt2
ZFPL1	Zfpl1
RP9	Rp9
COPS8	Cops8
HOMER2	Homer2
HOMER1	Homer1
RPE	Rpe
TEX30	Tex30
POGLUT2	Poglut2
STXBP5L	Stxbp5l
GTF2E1	Gtf2e1
TBCCD1	Tbccd1
ZNF609	Zfp609
IDH1	Idh1
CIDEA	Cidea
TUBB6	Tubb6
CD180	Cd180
DIPK1C	Dipk1c
SREK1	Srek1
PRUNE2	Prune2
FAM189A2	Fam189a2
RNF17	Rnf17
PUM1	Pum1
TRIM13	Trim13
ENPP4	Enpp4
DCBLD2	Dcbld2
PTRH1	Ptrh1
RBM3	Rbm3
FUCA2	Fuca2
UMAD1	Umad1
PLPP7	Plpp7
CENPO	Cenpo
SLC5A6	Slc5a6
ACACA	Acaca
HDAC4	Hdac4
KPTN	Kptn
CIB1	Cib1
PRPF4	Prpf4
TARS1	Tars
BLOC1S5	Bloc1s5
KDM8	Kdm8
GNB4	Gnb4
GNB2	Gnb2
MED30	Med30
MIPOL1	Mipol1
NSMCE1	Nsmce1
SDHC	Sdhc
SEC23A	Sec23a
GLTPD2	Gltpd2
UBFD1	Ubfd1
SRP54	Srp54c
KLHL24	Klhl24
SNN	Snn
GALR2	Galr2
ZFAND2A	Zfand2a
ZFAND2B	Zfand2b
AKNAD1	Aknad1
ARL4A	Arl4a
FRAS1	Fras1
TMEM106B	Tmem106b
INTS1	Ints1
PSMG3	Psmg3
ANXA3	Anxa3
GMNN	Gmnn
BMP3	Bmp3
YAE1	Yae1d1
PAFAH1B2	Pafah1b2
NPFFR2	Npffr2
GLYR1	Glyr1
CUTALP	Cutal
TPD52	Tpd52
RNF214	Rnf214
SLC2A8	Slc2a8
CHMP4C	Chmp4c
AKAP8L	Akap8l
AKAP8	Akap8
KNTC1	Kntc1
SRSF4	Srsf4
ZER1	Zer1
PRSS56	Prss56
NDUFA4L2	Ndufa4l2
RSAD1	Rsad1
HPCA	Hpca
NT5C1A	Nt5c1a
SUB1	Sub1
RASGEF1B	Rasgef1b
STK3	Stk3
NPR3	Npr3
BTF3	Btf3
RIDA	Rida
PYCR1	Pycr1
P3H4	P3h4
TMEM175	Tmem175
DCAF11	Dcaf11
DDAH2	Ddah2
XKR9	Xkr9
AKR1A1	Akr1a1
SYT12	Syt12
STAU2	Stau2
RIOK2	Riok2
MAP3K14	Map3k14
PTPA	Ptpa
CRAT	Crat
NOL6	Nol6
UCK1	Uck1
EFR3A	Efr3a
FN3KRP	Fn3krp
FN3K	Fn3k
KIF3B	Kif3b
FIBCD1	Fibcd1
YIPF6	Yipf6
ATP5PD	Atp5h
MYMK	Mymk
HERC6	Herc6
ZNF281	Zfp281
PIGL	Pigl
VMO1	Vmo1
GPSM2	Gpsm2
NUDC	Nudc
NALF2	Nalf2
ZNF704	Zfp704
ARID1A	Arid1a
IGBP1	Igbp1
SDR42E1	Sdr42e1
ABHD4	Abhd4
ACSS2	Acss2
MRE11	Mre11a
LAS1L	Las1l
HSD3B7	Hsd3b7
PDHA1	Pdha1
PDHA2	Pdha2
TRMT2A	Trmt2a
SLC35C1	Slc35c1
TOLLIP	Tollip
PYGO1	Pygo1
TP53RK	Trp53rka
CCPG1	Ccpg1
EHF	Ehf
FAM102A	Fam102a
USP20	Usp20
ZFAND1	Zfand1
EXO1	Exo1
DNAL4	Dnal4
USP10	Usp10
ADRM1	Adrm1
DAD1	Dad1
GPS2	Gps2
SNRNP35	Snrnp35
NDUFS4	Ndufs4
GSPT1	Gspt1
MAPK10	Mapk10
PDXDC1	Pdxdc1
BAZ2A	Baz2a
SARS2	Sars2
WASHC5	Washc5
CA5A	Car5a
CA5B	Car5b
KLHDC4	Klhdc4
CLRN1	Clrn1
NKIRAS1	Nkiras1
RNF168	Rnf168
CLIC1	Clic1
RIOX1	Riox1
XRN2	Xrn2
SLC5A2	Slc5a2
RPL13A	Rpl13a
KAT5	Kat5
PPL	Ppl
BLVRB	Blvrb
DAB2IP	Dab2ip
TAFA2	Tafa2
DPP7	Dpp7
PDZD2	Pdzd2
CCDC62	Ccdc62
CAPN8	Capn8
ZBTB44	Zbtb44
ZC2HC1A	Zc2hc1a
WASF3	Wasf3
CFDP1	Cfdp1
ADAMTS15	Adamts15
BPI	Bpi
LBP	Lbp
BPIFC	Bpifc
TMED10	Tmed10
SLC25A12	Slc25a12
