GeneName	MGI_id	FeatureType	HumanGeneName
Rapgef3os1	MGI:3826580	Gene	
Rapgef3os2	MGI:3826581	Gene	
Gm15279	MGI:3826582	Pseudogene	
Gm16303	MGI:3826584	Pseudogene	
Gm15258	MGI:3826585	Pseudogene	
Hotair	MGI:3826586	Gene	HOTAIR
Gm16300	MGI:3826587	Pseudogene	
Gm13901	MGI:3826588	Pseudogene	
Gm16297	MGI:3826589	Pseudogene	
Gm16282	MGI:3826590	Gene	
Gm16283	MGI:3826591	Gene	
Gm16308	MGI:3826592	Gene	
Erich2os	MGI:3826593	Gene	
Gm16273	MGI:3826595	Pseudogene	
Gm16260	MGI:3826596	Pseudogene	
Gm16275	MGI:3826597	Gene	
Gm16276	MGI:3826598	Pseudogene	
Gm16278	MGI:3826602	Gene	
Gm16272	MGI:3826603	Gene	
Gm16323	MGI:3826604	Gene	
Gm15276	MGI:3826605	Pseudogene	
Gm16288	MGI:3826608	Pseudogene	
Gm16322	MGI:3826609	Gene	
Gm16271	MGI:3826610	Gene	
Gm2350	MGI:3826781	Gene	
Zbed6	MGI:3828086	Gene	ZBED6
Gm2352	MGI:3829209	Pseudogene	
Gm15590	MGI:3831433	Pseudogene	
Defa-ps8	MGI:3832672	Pseudogene	
Tgfbr3l	MGI:3833469	Gene	TGFBR3L
Gm15725	MGI:3833682	Pseudogene	
Gm16163	MGI:3833836	Gene	
Rtl10	MGI:3833934	Gene	
Naa12	MGI:3833940	Gene	
Gm15832	MGI:3834078	Gene	
Gm15861	MGI:3835840	Pseudogene	
Gm14139	MGI:3836251	Gene	
Mir1927	MGI:3836959	Gene	
Mir1928	MGI:3836960	Gene	
Mir1929	MGI:3836961	Gene	
Mir1930	MGI:3836965	Gene	
Mir1931	MGI:3836967	Gene	
Mir1932	MGI:3836969	Gene	
Mir1933	MGI:3836970	Gene	
Mir1934	MGI:3836971	Gene	
Mir1936	MGI:3836973	Gene	
Mir1938	MGI:3836976	Gene	
Mir1941	MGI:3836979	Gene	
Mir1942	MGI:3836981	Gene	
Mir1943	MGI:3836982	Gene	
Mir1945	MGI:3836984	Gene	
Mir1306	MGI:3836985	Gene	MIR1306
Mir1946a	MGI:3837017	Gene	
Mir1947	MGI:3837018	Gene	
Mir1948	MGI:3837020	Gene	
Mir1949	MGI:3837022	Gene	
Mir1950	MGI:3837023	Gene	
Mir669l	MGI:3837025	Gene	
Mir669m-1	MGI:3837026	Gene	
Mir669m-2	MGI:3837027	Gene	
Mir669o	MGI:3837028	Gene	
Mir1951	MGI:3837029	Gene	
Mir1952	MGI:3837030	Gene	
Mir1953	MGI:3837034	Gene	
Mir1954	MGI:3837035	Gene	
Mir1955	MGI:3837036	Gene	
Mir669n	MGI:3837039	Gene	
Mir1956	MGI:3837040	Gene	
Mir1957a	MGI:3837121	Gene	
Mir1958	MGI:3837123	Gene	
Mir1960	MGI:3837202	Gene	
Mir1961	MGI:3837206	Gene	
Mir1962	MGI:3837207	Gene	
Mir1963	MGI:3837208	Gene	
Mir1964	MGI:3837209	Gene	
Mir1966	MGI:3837211	Gene	
Mir1967	MGI:3837213	Gene	
Mir1968	MGI:3837215	Gene	
Mir1969	MGI:3837216	Gene	
Mir1946b	MGI:3837217	Gene	
Mir1970	MGI:3837218	Gene	
Mir1971	MGI:3837219	Gene	
Mir1983	MGI:3837223	Gene	
Mir1981	MGI:3837225	Gene	
Mir1982	MGI:3837227	Gene	
Mir1839	MGI:3837345	Gene	
Yy2	MGI:3837947	Gene	YY2
Pate5	MGI:3839959	Gene	
Pate6	MGI:3839961	Gene	
Gm16348	MGI:3840113	Gene	
Gm16349	MGI:3840114	Gene	
Gm16355	MGI:3840115	Pseudogene	
Gm16354	MGI:3840116	Pseudogene	
Ifi203-ps	MGI:3840117	Pseudogene	
Gm16359	MGI:3840119	Pseudogene	
Gm16357	MGI:3840120	Pseudogene	
Gm16358	MGI:3840121	Pseudogene	
Gm16356	MGI:3840122	Pseudogene	
Gm16339	MGI:3840123	Gene	
Gm16326	MGI:3840124	Pseudogene	
Gm16327	MGI:3840125	Pseudogene	
Gm16329	MGI:3840126	Pseudogene	
Gm16328	MGI:3840127	Pseudogene	
Gm16343	MGI:3840128	Gene	
Gm16344	MGI:3840129	Gene	
Gm16345	MGI:3840130	Pseudogene	
Gm16337	MGI:3840131	Gene	
Gm16350	MGI:3840133	Gene	
Gm16353	MGI:3840136	Pseudogene	
Gm16341	MGI:3840137	Gene	
Gm16342	MGI:3840138	Pseudogene	
Gm16363	MGI:3840139	Pseudogene	
Gm16347	MGI:3840141	Gene	
Gm16364	MGI:3840142	Gene	
Gm16330	MGI:3840144	Pseudogene	
Gm16331	MGI:3840145	Pseudogene	
Gm16336	MGI:3840146	Gene	
Pitpnm2os2	MGI:3840147	Gene	
Umad1	MGI:3840148	Gene	UMAD1
Gm16333	MGI:3840150	Gene	
Gm16362	MGI:3840151	Pseudogene	
Gm16335	MGI:3840152	Pseudogene	
Gm16351	MGI:3840153	Gene	
Gm16346	MGI:3840154	Gene	
Gm16332	MGI:3840155	Pseudogene	
Gm15017	MGI:3841236	Gene	
Gm14875	MGI:3841238	Pseudogene	
Gm16092	MGI:3841241	Gene	
Igf1os	MGI:3841250	Gene	
Gm16270	MGI:3841260	Pseudogene	
Gm9736	MGI:3842085	Gene	
Pisd-ps1	MGI:3842428	Pseudogene	
Tmsb15b1	MGI:3843059	Gene	TMSB15B
Tmsb15b2	MGI:3843061	Gene	
AF357359	MGI:3843219	Gene	
Sprr2a2	MGI:3845026	Gene	
Sprr2a3	MGI:3845028	Gene	
Tnfsfm13	MGI:3845075	Gene	TNFSF12-TNFSF13
Npcd	MGI:3845555	Gene	NPTXR
Methig1	MGI:3845761	Gene	METTL7A
Jmjd7	MGI:3845785	Gene	JMJD7
Maskbp3	MGI:3845902	Gene	
Gm44505	MGI:3845910	Gene	
Gm44502	MGI:3846135	Gene	
Gm16511	MGI:3848987	Pseudogene	
Snord14d	MGI:3851602	Gene	
Snord14e	MGI:3851606	Gene	
Snord14a	MGI:3851608	Gene	
Vmn1r261	MGI:3852361	Pseudogene	
Vmn1r-ps13	MGI:3852363	Pseudogene	
Vmn1r-ps16	MGI:3852364	Pseudogene	
Vmn1r-ps21	MGI:3852365	Pseudogene	
Vmn1r-ps23	MGI:3852366	Pseudogene	
Vmn1r-ps29	MGI:3852367	Pseudogene	
Vmn1r-ps31	MGI:3852370	Pseudogene	
Vmn1r-ps35	MGI:3852371	Pseudogene	
Vmn1r-ps36	MGI:3852372	Pseudogene	
Vmn1r-ps37	MGI:3852373	Pseudogene	
Vmn1r-ps38	MGI:3852375	Pseudogene	
Vmn1r-ps39	MGI:3852377	Pseudogene	
Vmn1r-ps40	MGI:3852380	Pseudogene	
Vmn1r-ps41	MGI:3852381	Pseudogene	
Vmn1r-ps42	MGI:3852382	Pseudogene	
Vmn1r-ps44	MGI:3852384	Pseudogene	
Vmn1r-ps45	MGI:3852386	Pseudogene	
Vmn1r-ps49	MGI:3852387	Pseudogene	
Vmn1r-ps50	MGI:3852388	Pseudogene	
Vmn1r-ps51	MGI:3852391	Pseudogene	
Vmn1r-ps52	MGI:3852396	Pseudogene	
Vmn1r-ps54	MGI:3852397	Pseudogene	
Vmn1r-ps55	MGI:3852398	Pseudogene	
Vmn1r-ps56	MGI:3852399	Pseudogene	
Vmn1r-ps57	MGI:3852400	Pseudogene	
Vmn1r-ps58	MGI:3852401	Pseudogene	
Vmn1r-ps59	MGI:3852402	Pseudogene	
Vmn1r-ps60	MGI:3852403	Pseudogene	
Vmn1r-ps61	MGI:3852404	Pseudogene	
Vmn1r-ps62	MGI:3852405	Pseudogene	
Vmn1r-ps64	MGI:3852407	Pseudogene	
Vmn1r-ps66	MGI:3852408	Pseudogene	
Vmn1r-ps67	MGI:3852412	Pseudogene	
Vmn1r-ps68	MGI:3852413	Pseudogene	
Vmn1r88	MGI:3852416	Gene	
Vmn1r-ps69	MGI:3852419	Pseudogene	
Vmn1r95	MGI:3852449	Gene	
Vmn1r-ps86	MGI:3852450	Pseudogene	
Vmn1r184	MGI:3852451	Gene	VN1R4
Vmn1r-ps87	MGI:3852452	Pseudogene	
Vmn1r-ps98	MGI:3852453	Pseudogene	
Vmn1r-ps101	MGI:3852454	Pseudogene	
Vmn1r-ps115	MGI:3852455	Pseudogene	
Vmn1r-ps117	MGI:3852456	Pseudogene	
Vmn1r-ps124	MGI:3852458	Pseudogene	
Vmn1r-ps129	MGI:3852461	Pseudogene	
Vmn1r-ps130	MGI:3852462	Pseudogene	
Vmn1r-ps131	MGI:3852468	Pseudogene	
Vmn1r-ps133	MGI:3852469	Pseudogene	
Vmn1r-ps134	MGI:3852470	Pseudogene	
Vmn1r-ps136	MGI:3852471	Pseudogene	
Vmn1r-ps138	MGI:3852475	Pseudogene	
Vmn1r-ps139	MGI:3852479	Pseudogene	
Vmn1r-ps140	MGI:3852480	Pseudogene	
Vmn1r-ps141	MGI:3852481	Pseudogene	
Vmn1r-ps142	MGI:3852482	Pseudogene	
Vmn1r-ps143	MGI:3852483	Pseudogene	
Vmn1r-ps145	MGI:3852484	Pseudogene	
Vmn1r-ps146	MGI:3852486	Pseudogene	
Vmn1r-ps147	MGI:3852487	Pseudogene	
Vmn1r-ps148	MGI:3852488	Pseudogene	
Vmn1r-ps149	MGI:3852489	Pseudogene	
Vmn1r-ps151	MGI:3852490	Pseudogene	
Vmn1r-ps152	MGI:3852491	Pseudogene	
Vmn1r238	MGI:3852494	Gene	
Vmn1r-ps96	MGI:3852506	Pseudogene	
Gm16514	MGI:4356345	Pseudogene	
Aqp10-ps	MGI:4356425	Pseudogene	
Snord107	MGI:4358283	Gene	
Gabarapl2-ps	MGI:4358479	Pseudogene	
Mir2136	MGI:4358922	Gene	
Mir2137	MGI:4358923	Gene	
Mir2139	MGI:4358926	Gene	
Mir432	MGI:4358944	Gene	MIR432
Mir599	MGI:4358945	Gene	MIR599
Mir767	MGI:4358946	Gene	MIR767
Mir664	MGI:4358947	Gene	MIR664B
Gbp10	MGI:4359647	Gene	GBP6
Nme9	MGI:4359686	Gene	NME9
Scarna13	MGI:4360027	Gene	
Snora73a	MGI:4360046	Gene	
Snora73b	MGI:4360049	Gene	
Snora78	MGI:4360056	Gene	
Snora17	MGI:4360060	Gene	
Snora43	MGI:4360066	Gene	
Snora24	MGI:4360223	Gene	
Gm16518	MGI:4360828	Pseudogene	
Gm16519	MGI:4360871	Pseudogene	
A930024N18Rik	MGI:4360907	Gene	
Gm16523	MGI:4360990	Pseudogene	
Gm16525	MGI:4361006	Gene	
A430073D23Rik	MGI:4361019	Gene	
Gm16527	MGI:4361133	Gene	
Snora16a	MGI:4361141	Gene	
BC061195	MGI:4361273	Gene	
Ccnq-ps3	MGI:4361947	Pseudogene	
Gm16531	MGI:4362088	Pseudogene	
Smim17	MGI:4365374	Gene	SMIM17
Gm16533	MGI:4410373	Pseudogene	
Gm16534	MGI:4413442	Gene	
Efhd1os	MGI:4413444	Gene	
n-TAagc8	MGI:4413681	Gene	
n-TAagc10	MGI:4413683	Gene	
n-TAagc11	MGI:4413684	Gene	
n-TAagc12	MGI:4413685	Gene	
n-TAagc13	MGI:4413686	Gene	
n-TAagc14	MGI:4413687	Gene	
n-TAagc15	MGI:4413688	Gene	
n-TAagc16	MGI:4413689	Gene	
n-TAagc17	MGI:4413690	Gene	
n-TAagc18	MGI:4413691	Gene	
n-TAagc19	MGI:4413692	Gene	
n-TAcgc1	MGI:4413693	Gene	
n-TAcgc2	MGI:4413694	Gene	
n-TAcgc3	MGI:4413695	Gene	
n-TAcgc4	MGI:4413696	Gene	
n-TAcgc5	MGI:4413697	Gene	
n-TAcgc6	MGI:4413698	Gene	
n-TAcgc7	MGI:4413699	Gene	
n-TAcgc8	MGI:4413700	Gene	
n-TAcgc9	MGI:4413701	Gene	
n-TAcgc10	MGI:4413702	Gene	
n-TAtgc1	MGI:4413703	Gene	
n-TAtgc2	MGI:4413704	Gene	
n-TAtgc3	MGI:4413705	Gene	
n-TAtgc4	MGI:4413706	Gene	
n-TAtgc5	MGI:4413707	Gene	
n-TAtgc6	MGI:4413708	Gene	
n-TAtgc7	MGI:4413709	Gene	
n-TAtgc8	MGI:4413710	Gene	
n-TAtgc9	MGI:4413711	Gene	
n-TAtgc10	MGI:4413712	Gene	
n-TAtgc11	MGI:4413713	Gene	
n-TRacg1	MGI:4413714	Gene	
n-TRacg2	MGI:4413715	Gene	
n-TRacg3	MGI:4413716	Gene	
n-TRacg4	MGI:4413717	Gene	
n-TRacg5	MGI:4413718	Gene	
n-TRacg6	MGI:4413719	Gene	
n-TRccg1	MGI:4413720	Gene	
n-TRccg2	MGI:4413721	Gene	
n-TRccg3	MGI:4413722	Gene	
n-TRcct1	MGI:4413723	Gene	
n-TRcct2	MGI:4413724	Gene	
n-TRcct3	MGI:4413725	Gene	
n-TRcct4	MGI:4413726	Gene	
n-TRcct5	MGI:4413727	Gene	
n-TRtcg1	MGI:4413728	Gene	
n-TRtcg2	MGI:4413729	Gene	
n-TRtcg3	MGI:4413730	Gene	
n-TRtcg4	MGI:4413731	Gene	
n-TRtcg5	MGI:4413732	Gene	
n-TRtct5	MGI:4413733	Gene	
n-TRtct1	MGI:4413734	Gene	
n-TRtct2	MGI:4413735	Gene	
n-TRtct3	MGI:4413736	Gene	
n-TRtct4	MGI:4413737	Gene	
n-TNgtt1	MGI:4413738	Gene	
n-TNgtt2	MGI:4413739	Gene	
n-TNgtt3	MGI:4413740	Gene	
n-TNgtt4	MGI:4413741	Gene	
n-TNgtt5	MGI:4413742	Gene	
n-TNgtt6	MGI:4413743	Gene	
n-TNgtt7	MGI:4413744	Gene	
n-TNgtt8	MGI:4413745	Gene	
n-TNgtt9	MGI:4413746	Gene	
n-TNgtt10	MGI:4413747	Gene	
n-TNgtt11	MGI:4413748	Gene	
n-TNgtt12	MGI:4413749	Gene	
n-TNgtt13	MGI:4413750	Gene	
n-TNgtt14	MGI:4413751	Gene	
n-TDgtc3	MGI:4413754	Gene	
n-TDgtc4	MGI:4413755	Gene	
n-TDgtc5	MGI:4413756	Gene	
n-TDgtc6	MGI:4413757	Gene	
n-TDgtc7	MGI:4413758	Gene	
n-TDgtc8	MGI:4413759	Gene	
n-TDgtc9	MGI:4413760	Gene	
n-TDgtc10	MGI:4413761	Gene	
n-TDgtc11	MGI:4413762	Gene	
n-TDgtc12	MGI:4413763	Gene	
n-TDgtc13	MGI:4413764	Gene	
n-TDgtc14	MGI:4413765	Gene	
n-TDgtc15	MGI:4413766	Gene	
n-TDgtc16	MGI:4413767	Gene	
n-TCgca1	MGI:4413768	Gene	
n-TCgca4	MGI:4413771	Gene	
n-TCgca5	MGI:4413772	Gene	
n-TCgca6	MGI:4413773	Gene	
n-TCgca7	MGI:4413774	Gene	
n-TCgca8	MGI:4413775	Gene	
n-TCgca9	MGI:4413776	Gene	
n-TCgca10	MGI:4413777	Gene	
n-TCgca11	MGI:4413778	Gene	
n-TCgca12	MGI:4413779	Gene	
n-TCgca13	MGI:4413780	Gene	
n-TCgca14	MGI:4413781	Gene	
n-TCgca15	MGI:4413782	Gene	
n-TCgca16	MGI:4413783	Gene	
n-TCgca17	MGI:4413784	Gene	
n-TCgca18	MGI:4413785	Gene	
n-TCgca19	MGI:4413786	Gene	
n-TCgca20	MGI:4413787	Gene	
n-TCgca21	MGI:4413788	Gene	
n-TCgca22	MGI:4413789	Gene	
n-TCgca23	MGI:4413790	Gene	
n-TCgca24	MGI:4413791	Gene	
n-TCgca25	MGI:4413792	Gene	
n-TCgca26	MGI:4413793	Gene	
n-TCgca27	MGI:4413794	Gene	
n-TCgca28	MGI:4413795	Gene	
n-TCgca29	MGI:4413796	Gene	
n-TCgca30	MGI:4413797	Gene	
n-TCgca31	MGI:4413798	Gene	
n-TCgca32	MGI:4413799	Gene	
n-TCgca33	MGI:4413800	Gene	
n-TCgca34	MGI:4413801	Gene	
n-TCgca35	MGI:4413802	Gene	
n-TCgca36	MGI:4413803	Gene	
n-TCgca37	MGI:4413804	Gene	
n-TCgca38	MGI:4413805	Gene	
n-TCgca39	MGI:4413806	Gene	
n-TCgca40	MGI:4413807	Gene	
n-TCgca41	MGI:4413808	Gene	
n-TCgca42	MGI:4413809	Gene	
n-TCgca43	MGI:4413810	Gene	
n-Tcgca44	MGI:4413811	Gene	
n-TCgca45	MGI:4413812	Gene	
n-TCgca46	MGI:4413813	Gene	
n-TCgca47	MGI:4413814	Gene	
n-TCgca48	MGI:4413815	Gene	
n-TCgca49	MGI:4413816	Gene	
n-TCgca50	MGI:4413817	Gene	
n-TCgca51	MGI:4413818	Gene	
n-TCgca52	MGI:4413819	Gene	
n-TCgca53	MGI:4413820	Gene	
n-TCgca54	MGI:4413821	Gene	
n-TCgca55	MGI:4413822	Gene	
n-TCgca56	MGI:4413823	Gene	
n-TCgca57	MGI:4413824	Gene	
n-TQctg1	MGI:4413825	Gene	
n-TQctg2	MGI:4413826	Gene	
n-TQctg3	MGI:4413827	Gene	
n-TQctg4	MGI:4413828	Gene	
n-TQctg5	MGI:4413829	Gene	
n-TQctg6	MGI:4413830	Gene	
n-TQctg7	MGI:4413831	Gene	
n-TQctg8	MGI:4413832	Gene	
n-TQctg9	MGI:4413833	Gene	
n-TQctg10	MGI:4413834	Gene	
n-TQttg1	MGI:4413835	Gene	
n-TQttg3	MGI:4413837	Gene	
n-TQttg4	MGI:4413838	Gene	
n-TQttg5	MGI:4413839	Gene	
n-TQttg6	MGI:4413840	Gene	
n-TEctc4	MGI:4413844	Gene	
n-TEctc5	MGI:4413845	Gene	
n-TEctc6	MGI:4413846	Gene	
n-TEctc7	MGI:4413847	Gene	
n-TEctc8	MGI:4413848	Gene	
n-TEctc9	MGI:4413849	Gene	
n-TEctc10	MGI:4413850	Gene	
n-TEctc11	MGI:4413851	Gene	
n-TEctc12	MGI:4413852	Gene	
n-TEctc13	MGI:4413853	Gene	
n-TEttc3	MGI:4413854	Gene	
n-TEttc2	MGI:4413855	Gene	
n-TEttc1	MGI:4413856	Gene	
n-TEttc4	MGI:4413857	Gene	
n-TEttc5	MGI:4413858	Gene	
n-TEttc6	MGI:4413859	Gene	
n-TEttc7	MGI:4413860	Gene	
n-TEttc8	MGI:4413861	Gene	
n-TGacc1	MGI:4413862	Gene	
n-TGccc3	MGI:4413864	Gene	
n-TGccc1	MGI:4413865	Gene	
n-TGccc5	MGI:4413866	Gene	
n-TGccc6	MGI:4413867	Gene	
n-TGccc7	MGI:4413868	Gene	
n-TGccc4	MGI:4413869	Gene	
n-TGgcc1	MGI:4413870	Gene	
n-TGgcc2	MGI:4413871	Gene	
n-TGgcc3	MGI:4413872	Gene	
n-TGgcc4	MGI:4413873	Gene	
n-TGgcc5	MGI:4413874	Gene	
n-TGgcc6	MGI:4413875	Gene	
n-TGgcc7	MGI:4413876	Gene	
n-TGgcc8	MGI:4413877	Gene	
n-TGgcc9	MGI:4413878	Gene	
n-TGgcc10	MGI:4413879	Gene	
n-TGgcc11	MGI:4413880	Gene	
n-TGgcc12	MGI:4413881	Gene	
n-TGgcc13	MGI:4413882	Gene	
n-TGgcc14	MGI:4413883	Gene	
n-TGtcc1	MGI:4413884	Gene	
n-TGtcc2	MGI:4413885	Gene	
n-TGtcc3	MGI:4413886	Gene	
n-TGtcc4	MGI:4413887	Gene	
n-TGtcc5	MGI:4413888	Gene	
n-TGtcc6	MGI:4413889	Gene	
n-TGtcc7	MGI:4413890	Gene	
n-THgtg2	MGI:4413892	Gene	
n-THgtg3	MGI:4413893	Gene	
n-THgtg4	MGI:4413894	Gene	
n-THgtg5	MGI:4413895	Gene	
n-THgtg6	MGI:4413896	Gene	
n-THgtg7	MGI:4413897	Gene	
n-THgtg8	MGI:4413898	Gene	
n-THgtg9	MGI:4413899	Gene	
n-THgtg10	MGI:4413900	Gene	
n-THgtg1	MGI:4413901	Gene	
n-TIaat1	MGI:4413902	Gene	
n-TIaat2	MGI:4413903	Gene	
n-TIaat3	MGI:4413904	Gene	
n-TIaat4	MGI:4413905	Gene	
n-TIaat5	MGI:4413906	Gene	
n-TIaat6	MGI:4413907	Gene	
n-TIaat7	MGI:4413908	Gene	
n-TIaat8	MGI:4413909	Gene	
n-TIaat9	MGI:4413910	Gene	
n-TIaat10	MGI:4413911	Gene	
n-TIaat11	MGI:4413912	Gene	
n-TItat14	MGI:4413915	Gene	
n-TIaat15	MGI:4413916	Gene	
n-TIaat16	MGI:4413917	Gene	
n-TIaat17	MGI:4413918	Gene	
n-TLaag4	MGI:4413922	Gene	
n-TLaag5	MGI:4413923	Gene	
n-TLaag6	MGI:4413924	Gene	
n-TLaag7	MGI:4413925	Gene	
n-TLaag8	MGI:4413926	Gene	
n-TLcaa4	MGI:4413927	Gene	
n-TLcaa1	MGI:4413928	Gene	
n-TLcaa2	MGI:4413929	Gene	
n-TLcaa3	MGI:4413930	Gene	
n-TLcag1	MGI:4413931	Gene	
n-TLcag2	MGI:4413932	Gene	
n-TLcag3	MGI:4413933	Gene	
n-TLcag4	MGI:4413934	Gene	
n-TLcag5	MGI:4413935	Gene	
n-TLcag6	MGI:4413936	Gene	
n-TLcag7	MGI:4413937	Gene	
n-TLcag8	MGI:4413938	Gene	
n-TLcag9	MGI:4413939	Gene	
n-TLcag10	MGI:4413940	Gene	
n-TLtaa1	MGI:4413941	Gene	
n-TLtaa2	MGI:4413942	Gene	
n-TLtaa3	MGI:4413943	Gene	
n-TLtaa4	MGI:4413944	Gene	
n-TLtag1	MGI:4413945	Gene	
n-TLtag2	MGI:4413946	Gene	
n-TLtag3	MGI:4413947	Gene	
n-TKctt3	MGI:4413950	Gene	
n-TKctt4	MGI:4413951	Gene	
n-TKctt6	MGI:4413953	Gene	
n-TKctt7	MGI:4413954	Gene	
n-TKctt8	MGI:4413955	Gene	
n-TKctt9	MGI:4413956	Gene	
n-TKctt10	MGI:4413957	Gene	
n-TKctt11	MGI:4413958	Gene	
n-TKctt12	MGI:4413959	Gene	
n-TKctt13	MGI:4413960	Gene	
n-TKctt14	MGI:4413961	Gene	
n-TKctt15	MGI:4413962	Gene	
n-TKctt16	MGI:4413963	Gene	
n-TKctt17	MGI:4413964	Gene	
n-TKctt18	MGI:4413965	Gene	
n-TKctt19	MGI:4413966	Gene	
n-TKctt21	MGI:4413968	Gene	
n-TKttt22	MGI:4413969	Gene	
n-TKttt23	MGI:4413970	Gene	
n-TKctt24	MGI:4413971	Gene	
n-TKctt25	MGI:4413972	Gene	
n-TKctt26	MGI:4413973	Gene	
n-TKctt27	MGI:4413974	Gene	
n-TKctt28	MGI:4413975	Gene	
n-TKctt29	MGI:4413976	Gene	
n-TKctt30	MGI:4413977	Gene	
n-TMcat4	MGI:4413981	Gene	
n-TMcat5	MGI:4413982	Gene	
n-TMcat6	MGI:4413983	Gene	
n-TMcat7	MGI:4413984	Gene	
n-TMcat8	MGI:4413985	Gene	
n-TMcat9	MGI:4413986	Gene	
n-TMcat10	MGI:4413987	Gene	
n-TMcat11	MGI:4413988	Gene	
n-TMcat12	MGI:4413989	Gene	
n-TMcat13	MGI:4413990	Gene	
n-TMcat14	MGI:4413991	Gene	
n-TMcat15	MGI:4413992	Gene	
n-TMcat16	MGI:4413993	Gene	
n-TMcat17	MGI:4413994	Gene	
n-TFgaa1	MGI:4413996	Gene	
n-TFgaa2	MGI:4413997	Gene	
n-TFgaa3	MGI:4413998	Gene	
n-TFgaa4	MGI:4413999	Gene	
n-TFgaa5	MGI:4414000	Gene	
n-TFgaa6	MGI:4414001	Gene	
n-TFgaa7	MGI:4414002	Gene	
n-TPagg2	MGI:4414004	Gene	
n-TPagg3	MGI:4414005	Gene	
n-TPagg4	MGI:4414006	Gene	
n-TPagg5	MGI:4414007	Gene	
n-TPagg6	MGI:4414008	Gene	
n-TPagg7	MGI:4414009	Gene	
n-TPcgg2	MGI:4414010	Gene	
n-TPcgg3	MGI:4414011	Gene	
n-TPcgg1	MGI:4414012	Gene	
n-TPtgg2	MGI:4414014	Gene	
n-TPtgg3	MGI:4414015	Gene	
n-TPtgg4	MGI:4414016	Gene	
n-TPtgg5	MGI:4414017	Gene	
n-TPtgg6	MGI:4414018	Gene	
n-TPtgg7	MGI:4414019	Gene	
n-TPtgg8	MGI:4414020	Gene	
n-TUtca2	MGI:4414022	Gene	
n-TSaga3	MGI:4414023	Gene	
n-TSaga4	MGI:4414024	Gene	
n-TSaga5	MGI:4414025	Gene	
n-TSaga6	MGI:4414026	Gene	
n-TSaga7	MGI:4414027	Gene	
n-TSaga8	MGI:4414028	Gene	
n-TSaga9	MGI:4414029	Gene	
n-TSaga1	MGI:4414030	Gene	
n-TScga1	MGI:4414032	Gene	
n-TScga2	MGI:4414033	Gene	
n-TScga3	MGI:4414034	Gene	
n-TSgct1	MGI:4414035	Gene	
n-TSgct2	MGI:4414036	Gene	
n-TSgct3	MGI:4414037	Gene	
n-TSgct4	MGI:4414038	Gene	
n-TSgct5	MGI:4414039	Gene	
n-TSgct6	MGI:4414040	Gene	
n-TSgct7	MGI:4414041	Gene	
n-TSgct8	MGI:4414042	Gene	
n-TSgga1	MGI:4414043	Gene	
n-TStga1	MGI:4414044	Gene	
n-TStga2	MGI:4414045	Gene	
n-TStga3	MGI:4414046	Gene	
n-TTagt1	MGI:4414048	Gene	
n-TTagt2	MGI:4414049	Gene	
n-TTagt3	MGI:4414050	Gene	
n-TTagt4	MGI:4414051	Gene	
n-TTagt5	MGI:4414052	Gene	
n-TTagt6	MGI:4414053	Gene	
n-TTagt7	MGI:4414054	Gene	
n-TTagt8	MGI:4414055	Gene	
n-TTagt9	MGI:4414056	Gene	
n-TTcgt2	MGI:4414058	Gene	
n-TTcgt3	MGI:4414059	Gene	
n-TTcgt4	MGI:4414060	Gene	
n-TTcgt5	MGI:4414061	Gene	
n-TTtgt1	MGI:4414062	Gene	
n-TTtgt2	MGI:4414063	Gene	
n-TTtgt3	MGI:4414064	Gene	
n-TTtgt4	MGI:4414065	Gene	
n-TWcca1	MGI:4414066	Gene	
n-TWcca2	MGI:4414067	Gene	
n-TWcca3	MGI:4414068	Gene	
n-TWcca4	MGI:4414069	Gene	
n-TWcca5	MGI:4414070	Gene	
n-TWcca6	MGI:4414071	Gene	
n-TWcca7	MGI:4414072	Gene	
n-TWcca8	MGI:4414073	Gene	
n-TYgta1	MGI:4414074	Gene	
n-TYgta2	MGI:4414075	Gene	
n-TYgta3	MGI:4414076	Gene	
n-TYgta4	MGI:4414077	Gene	
n-TYgta5	MGI:4414078	Gene	
n-TYgta6	MGI:4414079	Gene	
n-TYgta7	MGI:4414080	Gene	
n-TYgta8	MGI:4414081	Gene	
n-TYgta9	MGI:4414082	Gene	
n-TYgta10	MGI:4414083	Gene	
n-TVaac1	MGI:4414084	Gene	
n-TVaac2	MGI:4414085	Gene	
n-TVaac3	MGI:4414086	Gene	
n-TVaac4	MGI:4414087	Gene	
n-TVaac5	MGI:4414088	Gene	
n-TVaac6	MGI:4414089	Gene	
n-TVaac7	MGI:4414090	Gene	
n-TVaac8	MGI:4414091	Gene	
n-TVcac1	MGI:4414092	Gene	
n-TVcac2	MGI:4414093	Gene	
n-TVcac3	MGI:4414094	Gene	
n-TVcac4	MGI:4414095	Gene	
n-TVcac5	MGI:4414096	Gene	
n-TVcac6	MGI:4414097	Gene	
n-TVcac7	MGI:4414098	Gene	
n-TVcac8	MGI:4414099	Gene	
n-TVcac9	MGI:4414100	Gene	
n-TVcac10	MGI:4414101	Gene	
n-TVcac11	MGI:4414102	Gene	
n-TVtac1	MGI:4414104	Gene	
n-TVtac2	MGI:4414105	Gene	
n-TVtac3	MGI:4414106	Gene	
Gm16536	MGI:4414956	Gene	
Gm16537	MGI:4414957	Gene	
Gm16538	MGI:4414958	Gene	
